"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","188","Should register a user with valid payload","","Thu May 28 15:50:28 UTC 2026","passed","Thu May 28 15:50:28 UTC 2026","","com.luxus.tinterest.integration.AuthSecurityIntegrationTests","com.luxus.tinterest.integration.AuthSecurityIntegrationTests","shouldRegisterUser"
"","12","Should successfully verify email with valid code","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Email Verification Controller Tests","com.luxus.tinterest.controller.EmailVerificationControllerTests","testSuccessfulEmailVerification"
"","3","Should find user by id","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","UserService Unit Tests","com.luxus.tinterest.service.UserServiceTests","testFindByIdReturnsUser"
"","10","Should return 400 when email is missing","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Login Controller Tests","com.luxus.tinterest.controller.LoginControllerTests","testLoginWithoutEmail"
"","1","Should add new interest and return response","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","InterestService Unit Tests","com.luxus.tinterest.service.InterestServiceTests","testAddInterestReturnsResponse"
"","4","Should login user and return access and refresh tokens","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","AuthService Unit Tests","com.luxus.tinterest.service.AuthServiceTests","testLoginReturnsTokens"
"","3","Should throw invalid credentials on login failure","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","AuthService Unit Tests","com.luxus.tinterest.service.AuthServiceTests","testLoginThrowsInvalidCredentials"
"","3","Should register a new user and generate verification code","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","UserService Unit Tests","com.luxus.tinterest.service.UserServiceTests","testRegisterGeneratesVerificationCode"
"","15","Should return 400 when group name is missing","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Chat Controller Tests","com.luxus.tinterest.controller.ChatControllerTests","testCreateGroupChatWithoutName"
"","14","Should retrieve users filtered by email","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testGetUsersByEmail"
"","15","Should return 400 when adding interest without name","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testAddInterestWithoutName"
"","14","Should successfully retrieve admin statistics","","Thu May 28 15:50:33 UTC 2026","passed","Thu May 28 15:50:33 UTC 2026","","Admin Controller Tests","com.luxus.tinterest.controller.AdminControllerTests","testGetStatistics"
"","2","Should throw InterestAlreadyExistsException when interest name already exists","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","InterestService Unit Tests","com.luxus.tinterest.service.InterestServiceTests","testAddInterestThrowsInterestAlreadyExistsException"
"","249","Should upload avatar and save returned url","","Thu May 28 15:50:29 UTC 2026","passed","Thu May 28 15:50:29 UTC 2026","","ProfileService Unit Tests","com.luxus.tinterest.service.ProfileServiceTests","testUploadAvatarUsesMinioStorage"
"","15","Should return 404 when user not found for filtered recommendations","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Recommendation Controller Tests","com.luxus.tinterest.controller.RecommendationControllerTests","testGetFilteredRecommendationsUserNotFound"
"","3","Should throw when verification code is invalid","","Thu May 28 15:50:29 UTC 2026","passed","Thu May 28 15:50:29 UTC 2026","","EmailVerificationService Unit Tests","com.luxus.tinterest.service.EmailVerificationServiceTests","testVerifyCodeThrowsWhenInvalidCode"
"","17","Should successfully record like swipe","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Recommendation Controller Tests","com.luxus.tinterest.controller.RecommendationControllerTests","testSwipeLike"
"","13","Should return 400 when password is missing","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Registration Controller Tests","com.luxus.tinterest.controller.RegistrationControllerTests","testRegistrationWithoutPassword"
"","12","Should return 401 when updating interests without authentication","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testUpdateInterestsWithoutAuthentication"
"","91","Should throw invalid credentials when password does not match","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","UserService Unit Tests","com.luxus.tinterest.service.UserServiceTests","testLoginThrowsWhenPasswordMismatch"
"","2","Should throw when email already verified","","Thu May 28 15:50:29 UTC 2026","passed","Thu May 28 15:50:29 UTC 2026","","EmailVerificationService Unit Tests","com.luxus.tinterest.service.EmailVerificationServiceTests","testVerifyCodeThrowsWhenAlreadyVerified"
"","19","Should return 401 when retrieving current profile without authentication","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testGetMyProfileWithoutAuthentication"
"","72","Should return 401 when retrieving interests without authorization","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Interest Controller Tests","com.luxus.tinterest.controller.InterestControllerTests","testGetAllInterestsWithoutAuthorization"
"","49","Should perform basic CRUD operations on User repository","","Thu May 28 15:50:21 UTC 2026","passed","Thu May 28 15:50:21 UTC 2026","","com.luxus.tinterest.integration.UserRepositoryIntegrationTests","com.luxus.tinterest.integration.UserRepositoryIntegrationTests","shouldPerformCrudOperations"
"","17","Should retrieve user profile by id without authentication","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testGetUserProfileWithoutAuthentication"
"","14","Should successfully record dislike swipe","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Recommendation Controller Tests","com.luxus.tinterest.controller.RecommendationControllerTests","testSwipeDislike"
"","1","unsavedInterestsWithDifferentNamesStayDistinct()","","Thu May 28 15:50:34 UTC 2026","passed","Thu May 28 15:50:34 UTC 2026","","com.luxus.tinterest.entity.InterestTests","com.luxus.tinterest.entity.InterestTests","unsavedInterestsWithDifferentNamesStayDistinct"
"","2","Should revoke refresh token on logout","","Thu May 28 15:50:30 UTC 2026","passed","Thu May 28 15:50:30 UTC 2026","","AuthService Unit Tests","com.luxus.tinterest.service.AuthServiceTests","testLogoutRevokesRefreshToken"
"","15","Should return 400 when targetUserId is missing","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Recommendation Controller Tests","com.luxus.tinterest.controller.RecommendationControllerTests","testSwipeWithoutTargetUserId"
"","3","Should throw when sending blank chat message","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","ChatService Unit Tests","com.luxus.tinterest.service.ChatServiceTests","testSendMessageThrowsWhenContentBlank"
"","3","Should handle multiple concurrent calls correctly","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Transaction and Concurrency Tests","com.luxus.tinterest.service.AdminStatisticsServiceTest$TransactionTests","shouldHandleConcurrentCalls"
"","12","Should verify interest response structure","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Interest Controller Tests","com.luxus.tinterest.controller.InterestControllerTests","testInterestResponseStructure"
"","20","Should successfully retrieve current user's profile","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testGetMyProfileSuccess"
"","85","Should return 401 when uploading avatar without authentication","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testUploadAvatarWithoutAuthentication"
"","16","Should return 404 when user profile not found by id","","Thu May 28 15:50:32 UTC 2026","passed","Thu May 28 15:50:32 UTC 2026","","Profile Controller Tests","com.luxus.tinterest.controller.ProfileControllerTests","testGetUserProfileNotFound"
"","2","Should throw exception when countUsersByGender fails","","Thu May 28 15:50:31 UTC 2026","passed","Thu May 28 15:50:31 UTC 2026","","Negative Test Cases","com.luxus.tinterest.service.AdminStatisticsServiceTest$NegativeTests","shouldThrowExceptionWhenCountUsersByGenderFails"
"","135","Should send email message when mail delivery is enabled","","Thu May 28 15:50:29 UTC 2026","passed","Thu May 28 15:50:29 UTC 2026","","EmailService Unit Tests","com.luxus.tinterest.service.EmailServiceTests","testSendCodeSendsEmailWhenEnabled"
"","2","Should throw when resend code for already verified user","","Thu May 28 15:50:29 UTC 2026","passed","Thu May 28 15:50:29 UTC 2026","","EmailVerificationService Unit Tests","com.luxus.tinterest.service.EmailVerificationServiceTests","testResendCodeThrowsWhenAlreadyVerified"
